Name,Varietal,Region,Price,Dosage,Online_Rating,Total_Ratings,sommelier_ratings
Leeuwin Estate Art Series Shiraz 2018,Syrah/Shiraz,"Margaret River, Western Australia, Australia",34 99,750 ML,0.0,0 Ratings,JH 96 W & S 91 WE 90
J.J. Vincent Pouilly-Fuisse Marie Antoinette 2018,Chardonnay,"Pouilly-Fuisse, Maconnais, Burgundy, France",24 99,750 ML,4.0,24 Ratings,BH 91 WW 90
Carmelo Patti Malbec 2017,Malbec,"Mendoza, Argentina",35 99,750 ML,0.0,0 Ratings,
Tormaresca Chardonnay 2020,Chardonnay,"Puglia, Italy",12 99,750 ML,0.0,0 Ratings,
Russian River Valley Winegrowers Venerations by Ramey and Davis Bynum (Sonoma Barrel Auction) 2018,Pinot Noir,"Russian River, Sonoma County, California",69 99,750 ML,0.0,0 Ratings,
Pedroncelli Bench Vineyards Merlot 2019,Merlot,"Sonoma County, California",17 99,750 ML,4.9,16 Ratings,
Viski Stainless Steel Bottle Chiller,,,59 99,0 ML,0.0,0 Ratings,
Louis Jadot Macon-Villages 2020,Chardonnay,"Macon Villages, Maconnais, Burgundy, France",16 99,750 ML,3.7,78 Ratings,TP 91
Nocton Pinot Noir 2016,Pinot Noir,"Tasmania, Australia",29 99,750 ML,0.0,0 Ratings,
Giulia Negri La Tartufaia Barolo 2017,Nebbiolo,"Barolo, Piedmont, Italy",66 99,750 ML,0.0,0 Ratings,
Moutard Brut Rose de Cuvaison,Sparkling Rosé,"Champagne, France",44 99,750 ML,4.3,32 Ratings,V 91
Ruffino Prosecco Made with Organic Grapes,Non-Vintage Sparkling Wine,"Prosecco, Italy",16 99,750 ML,4.0,11 Ratings,
Louis Latour Corton-Perrieres Grand Cru 2016,Pinot Noir,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",179 99,750 ML,4.8,27 Ratings,JS 96 WS 93 RP 92
Camp Zinfandel 2020,Zinfandel,"Mendocino, California",21,750 ML,0.0,0 Ratings,
Gilgal Merlot (OK Kosher) 2018,Merlot,Israel,17 99,750 ML,0.0,0 Ratings,
Chateau Canon La Gaffeliere 2016,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",105 99,750 ML,4.5,33 Ratings,JS 96 V 96 WE 95 WS 95 RP 95 JD 95 D 93 CG 91
Jean-Luc Colombo Cape Bleue Rose 2020,Rosé,"Vin de France, France",15,750 ML,3.5,40 Ratings,WE 90
Beringer Bros. Tequila Barrel Aged Sauvignon Blanc 2019,Sauvignon Blanc,California,16 99,750 ML,0.0,0 Ratings,
Vionta Albarino 2020,Albarino,"Rias Baixas, Spain",23 99,750 ML,0.0,0 Ratings,
Laurel Glen Sonoma Mountain Estate Cabernet Sauvignon 2015,Cabernet Sauvignon,"Sonoma Mountain, Sonoma Valley, Sonoma County, California",89 99,750 ML,0.0,0 Ratings,JD 94 WE 94 WS 90
Bisson Glera Vino Frizzante Trevigiani,Non-Vintage Sparkling Wine,"Veneto, Italy",19 99,750 ML,4.4,10 Ratings,
Bodegas Luis Canas Reserva 2015,Tempranillo,"Rioja, Spain",35 99,750 ML,0.0,0 Ratings,
Domaine la Florane Cotes du Rhone Villages Terre Pourpre Rouge 2019,Rhone Red Blends,"Cotes du Rhone Villages, Rhone, France",29 99,750 ML,0.0,0 Ratings,
Dom. de la Rouletiere Vouvray Sec Silex 2020,Chenin Blanc,"Vouvray, Touraine, Loire, France",22 99,750 ML,0.0,0 Ratings,
Handley RSM Vineyard Pinot Noir 2017,Pinot Noir,"Anderson Valley, Mendocino, California",61 99,750 ML,0.0,0 Ratings,
Cousino Macul Dama de Plata Cabernet Sauvignon 2016,Cabernet Sauvignon,Chile,19,750 ML,3.9,19 Ratings,WE 90
Convento San Francisco Roble 2018,Tempranillo,"Ribera del Duero, Spain",19 99,750 ML,4.4,5 Ratings,
Domaine Joseph Roty Gevrey-Chambertin La Brunelle 2017,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",109 99,750 ML,0.0,0 Ratings,RP 91
Boen Santa Maria Valley Pinot Noir 2017,Pinot Noir,"Santa Maria Valley, Central Coast, California",33 99,750 ML,3.8,13 Ratings,WE 92
Sur de los Andes Reserva Cabernet Franc 2017,Cabernet Franc,"Mendoza, Argentina",34,750 ML,4.0,203 Ratings,WE 92 JS 91
Shenandoah Special Reserve Zinfandel 2019,Zinfandel,"Amador, Sierra Foothills, California",10 99,750 ML,0.0,0 Ratings,
Stags' Leap Winery Napa Valley Cabernet Sauvignon 2018,Cabernet Sauvignon,"Napa Valley, California",60,750 ML,4.3,98 Ratings,JS 95
Camelot Cabernet Sauvignon,Cabernet Sauvignon,California,10,750 ML,3.1,17 Ratings,
Bethel Heights Estate Grown Chardonnay 2017,Chardonnay,"Eola-Amity Hills, Willamette Valley, Oregon",34 99,750 ML,0.0,0 Ratings,JS 93 WE 92 RP 92 W & S 92
Antica Townsend Vineyard Cabernet Sauvignon 2012,Cabernet Sauvignon,"Atlas Peak, Napa Valley, California",107 98,750 ML,0.0,0 Ratings,WS 92 RP 90
Boyer-Martenot Meursault Les Grands Charrons 2018,Chardonnay,"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",79 99,750 ML,0.0,0 Ratings,
Montalbera Laccento Ruche di Castagnole Monferrato 2019,Other Red Wine,"Piedmont, Italy",28 99,750 ML,0.0,0 Ratings,
Catena Appellation San Carlos Cabernet Franc 2018,Cabernet Franc,"Mendoza, Argentina",21 99,750 ML,3.9,48 Ratings,RP 92
Pommery Brut Royal,Non-Vintage Sparkling Wine,"Champagne, France",44 99,750 ML,4.4,116 Ratings,D 93 JS 92
Pierre Sparr Gewurztraminer 2017,Gewurztraminer,"Alsace, France",23 99,750 ML,3.7,37 Ratings,
Domaine Bruno Clavelier Vosne-Romanee La Combe Brulee Vieilles Vignes 2011,Pinot Noir,"Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",145 97,750 ML,0.0,0 Ratings,
Jordan Cabernet Sauvignon 2017,Cabernet Sauvignon,"Alexander Valley, Sonoma County, California",58 99,750 ML,4.3,34 Ratings,WW 92 WE 92 W & S 92
Kistler Vineyards Cuvee Natalie Pinot Noir 2011,Pinot Noir,"Sonoma Coast, Sonoma County, California",149 97,750 ML,0.0,0 Ratings,RP 91
Domaine Gerard Duplessis Petit Chablis 2018,Chardonnay,"Chablis, Burgundy, France",38 99,750 ML,0.0,0 Ratings,
Sine Qua Non This Is Not An Exit Syrah 2009,Syrah/Shiraz,California,559 97,750 ML,0.0,0 Ratings,RP 97 WS 95
By Farr Chardonnay 2018,Chardonnay,"Geelong, Victoria, Australia",75 99,750 ML,0.0,0 Ratings,
